despacho_id,fecha_pedido,fecha_entrega_prometida,fecha_entrega_real,dias_transito,cliente_id,cliente,sector,ciudad_destino,depto_destino,sede_origen,sede_nombre,estado,entregado_a_tiempo,valor_cop
DSP-8059,2026-07-24,2026-07-25,2026-07-25,1,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,58061752
DSP-8060,2026-07-30,2026-07-31,2026-07-31,1,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,BOG-AME,Bogotá · Américas,Entregado,True,61143388
DSP-8061,2026-05-25,2026-05-28,2026-05-31,6,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,SIB,CEDI Siberia,Entregado,False,55054699
DSP-8062,2026-07-20,2026-07-23,2026-07-23,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,VIL,Villavicencio,Entregado,True,76295189
DSP-8063,2026-06-13,2026-06-16,2026-06-16,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,SIB,CEDI Siberia,Entregado,True,74382578
DSP-8064,2026-07-17,2026-07-19,2026-07-19,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,67732173
DSP-8065,2026-06-18,2026-06-20,2026-06-20,2,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,62702542
DSP-8066,2026-08-04,2026-08-07,2026-08-07,3,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,62095251
DSP-8067,2026-06-30,2026-07-02,2026-07-02,2,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,VIL,Villavicencio,Entregado,True,59491296
DSP-8068,2026-06-02,2026-06-03,2026-06-03,1,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,35626381
DSP-8069,2026-08-22,2026-08-23,,1,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,VIL,Villavicencio,En tránsito,,12672432
DSP-8070,2026-05-28,2026-05-29,2026-05-29,1,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,SIB,CEDI Siberia,Entregado,True,84811068
DSP-8071,2026-06-18,2026-06-20,2026-06-20,2,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,33286281
DSP-8072,2026-06-25,2026-06-28,2026-06-28,3,CLI-005,Lácteos El Recreo,Lácteos,Tunja,Boyacá,SIB,CEDI Siberia,Entregado,True,82979229
DSP-8073,2026-06-03,2026-06-05,2026-06-05,2,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,42234530
DSP-8074,2026-08-09,2026-08-11,2026-08-11,2,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,ITA,Itagüí,Entregado,True,39210457
DSP-8075,2026-07-13,2026-07-14,2026-07-18,5,CLI-017,Frupulpas S.A.S.,Sabores & Colorantes,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,False,83322988
DSP-8076,2026-06-16,2026-06-17,2026-06-17,1,CLI-021,Hotel Las Américas,Aseo & Desinfección,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,21121609
DSP-8077,2026-08-08,2026-08-11,2026-08-11,3,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,73228446
DSP-8078,2026-08-05,2026-08-07,2026-08-07,2,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,80265521
DSP-8079,2026-07-03,2026-07-06,2026-07-11,8,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,SIB,CEDI Siberia,Entregado,False,66550548
DSP-8080,2026-08-07,2026-08-08,2026-08-08,1,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,MOS,CEDI Mosquera,Entregado,True,51903510
DSP-8081,2026-08-18,2026-08-19,2026-08-19,1,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,11219125
DSP-8082,2026-06-25,2026-06-27,2026-06-27,2,CLI-021,Hotel Las Américas,Aseo & Desinfección,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,23805618
DSP-8083,2026-06-28,2026-06-29,2026-06-29,1,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,14224654
DSP-8084,2026-07-17,2026-07-19,2026-07-19,2,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,9642219
DSP-8085,2026-06-04,2026-06-06,2026-06-06,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,22417787
DSP-8086,2026-06-23,2026-06-25,2026-06-25,2,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,57137544
DSP-8087,2026-06-28,2026-07-01,2026-07-01,3,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,56170909
DSP-8088,2026-06-25,2026-06-28,2026-06-28,3,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,MOS,CEDI Mosquera,Entregado,True,16605061
DSP-8089,2026-08-07,2026-08-09,2026-08-09,2,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,43203374
DSP-8090,2026-05-28,2026-05-30,2026-05-30,2,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,25339136
DSP-8091,2026-06-10,2026-06-13,2026-06-13,3,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,81486775
DSP-8092,2026-07-28,2026-07-29,2026-07-29,1,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,55753207
DSP-8093,2026-06-10,2026-06-11,2026-06-11,1,CLI-021,Hotel Las Américas,Aseo & Desinfección,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,51839319
DSP-8094,2026-06-12,2026-06-15,2026-06-15,3,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,ITA,Itagüí,Entregado,True,20557499
DSP-8095,2026-07-13,2026-07-15,2026-07-15,2,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,56401408
DSP-8096,2026-07-31,2026-08-02,2026-08-02,2,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,VIL,Villavicencio,Entregado,True,29179335
DSP-8097,2026-06-29,2026-06-30,2026-06-30,1,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,23205273
DSP-8098,2026-08-13,2026-08-14,2026-08-14,1,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,46559628
DSP-8099,2026-06-15,2026-06-16,2026-06-20,5,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,False,10486903
DSP-8100,2026-06-19,2026-06-20,2026-06-20,1,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,15667448
DSP-8101,2026-07-23,2026-07-26,2026-07-26,3,CLI-019,Centro Análisis ALF,Laboratorio,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,6803486
DSP-8102,2026-07-19,2026-07-21,2026-07-21,2,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,57430914
DSP-8103,2026-08-01,2026-08-04,2026-08-04,3,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,26677234
DSP-8104,2026-08-15,2026-08-17,2026-08-17,2,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,50315004
DSP-8105,2026-06-18,2026-06-19,2026-06-19,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,68244350
DSP-8106,2026-08-22,2026-08-25,,3,CLI-021,Hotel Las Américas,Aseo & Desinfección,Bogotá,Cundinamarca,SIB,CEDI Siberia,En tránsito,,71369958
DSP-8107,2026-08-10,2026-08-12,2026-08-12,2,CLI-005,Lácteos El Recreo,Lácteos,Tunja,Boyacá,SIB,CEDI Siberia,Entregado,True,31091164
DSP-8108,2026-06-12,2026-06-13,2026-06-13,1,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,VIL,Villavicencio,Entregado,True,38910317
DSP-8109,2026-07-10,2026-07-11,2026-07-11,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,56110264
DSP-8110,2026-06-08,2026-06-10,2026-06-10,2,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,5269168
DSP-8111,2026-07-24,2026-07-25,2026-07-28,4,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,False,10312783
DSP-8112,2026-06-13,2026-06-14,2026-06-14,1,CLI-015,Postobón S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,84224814
DSP-8113,2026-07-19,2026-07-21,2026-07-22,3,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,False,44452836
DSP-8114,2026-08-07,2026-08-10,2026-08-10,3,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,6147067
DSP-8115,2026-07-26,2026-07-29,2026-07-29,3,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,ITA,Itagüí,Entregado,True,24717614
DSP-8116,2026-08-05,2026-08-07,2026-08-07,2,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,37348032
DSP-8117,2026-08-11,2026-08-12,2026-08-12,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,34342167
DSP-8118,2026-07-23,2026-07-26,2026-07-26,3,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,15060294
DSP-8119,2026-05-29,2026-05-31,2026-05-31,2,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,VIL,Villavicencio,Entregado,True,12812440
DSP-8120,2026-07-14,2026-07-15,2026-07-15,1,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,41051271
DSP-8121,2026-06-26,2026-06-28,2026-06-28,2,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,BOG-QUI,Bogotá · Químicos,Entregado,True,26396019
DSP-8122,2026-05-26,2026-05-27,2026-05-27,1,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,51497733
DSP-8123,2026-06-23,2026-06-26,2026-07-01,8,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,SIB,CEDI Siberia,Entregado,False,60218471
DSP-8124,2026-08-21,2026-08-24,,3,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,TUN,Tunja,En tránsito,,78159809
DSP-8125,2026-06-11,2026-06-13,2026-06-13,2,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,TUN,Tunja,Entregado,True,34466128
DSP-8126,2026-08-10,2026-08-11,2026-08-11,1,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,BOG-QUI,Bogotá · Químicos,Entregado,True,32284625
DSP-8127,2026-06-08,2026-06-11,2026-06-11,3,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,62244816
DSP-8128,2026-08-15,2026-08-16,2026-08-21,6,CLI-015,Postobón S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,False,5725005
DSP-8129,2026-05-27,2026-05-28,2026-05-28,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,16627469
DSP-8130,2026-06-11,2026-06-12,2026-06-12,1,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,50778076
DSP-8131,2026-06-11,2026-06-13,2026-06-15,4,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,False,56317002
DSP-8132,2026-07-28,2026-07-31,2026-07-31,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,BOG-AME,Bogotá · Américas,Entregado,True,66214332
DSP-8133,2026-08-22,2026-08-23,,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,En tránsito,,62320876
DSP-8134,2026-06-17,2026-06-19,2026-06-19,2,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,59528529
DSP-8135,2026-08-05,2026-08-08,2026-08-08,3,CLI-021,Hotel Las Américas,Aseo & Desinfección,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,58410043
DSP-8136,2026-07-09,2026-07-11,2026-07-11,2,CLI-019,Centro Análisis ALF,Laboratorio,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,27202672
DSP-8137,2026-06-23,2026-06-25,2026-06-25,2,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,65067614
DSP-8138,2026-06-01,2026-06-03,2026-06-03,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,84578999
DSP-8139,2026-07-07,2026-07-08,2026-07-13,6,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,TUN,Tunja,Entregado,False,43602809
DSP-8140,2026-06-07,2026-06-08,2026-06-08,1,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,55459089
DSP-8141,2026-06-03,2026-06-06,2026-06-09,6,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,False,15489460
DSP-8142,2026-07-07,2026-07-08,2026-07-08,1,CLI-019,Centro Análisis ALF,Laboratorio,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,23667208
DSP-8143,2026-06-12,2026-06-15,2026-06-15,3,CLI-017,Frupulpas S.A.S.,Sabores & Colorantes,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,15827409
DSP-8144,2026-07-12,2026-07-14,2026-07-14,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,78627438
DSP-8145,2026-08-09,2026-08-11,2026-08-11,2,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,VIL,Villavicencio,Entregado,True,44870757
DSP-8146,2026-06-20,2026-06-22,2026-06-22,2,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,62069951
DSP-8147,2026-06-22,2026-06-23,2026-06-23,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,37202038
DSP-8148,2026-07-18,2026-07-21,2026-07-21,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,ITA,Itagüí,Entregado,True,67423973
DSP-8149,2026-06-20,2026-06-22,2026-06-22,2,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,62097340
DSP-8150,2026-08-13,2026-08-14,2026-08-14,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,36198055
DSP-8151,2026-06-02,2026-06-03,2026-06-06,4,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,TUN,Tunja,Entregado,False,62409806
