sede_id,sede_nombre,ciudad,producto_id,producto,categoria,unidad,proveedor,stock_actual,stock_minimo,stock_maximo,precio_costo,valor_inventario,dias_cobertura,estado
BOG-AME,Bogotá · Américas,Bogotá,CAR-008,Almidón de papa para cárnicos,Cárnicos,kg,Ingredion,1216.3,500,3065.9,6500,7906107,73.0,Normal
BOG-AME,Bogotá · Américas,Bogotá,CAR-009,Sal Refisal® curación,Cárnicos,kg,Refisal,456.3,500,3378.4,3200,1460241,27.4,Bajo
BOG-AME,Bogotá · Américas,Bogotá,CAR-010,Nitrito de sodio 99%,Cárnicos,kg,Univar,62.0,150,640.2,18000,1116720,12.4,Crítico
BOG-AME,Bogotá · Américas,Bogotá,PAN-001,Levadura seca instantánea,Panadería,kg,Lesaffre,1024.9,300,2151.8,12500,12811576,102.5,Alto
BOG-AME,Bogotá · Américas,Bogotá,PAN-002,Mejorizador panadera CM-5,Panadería,kg,Kerry Group,209.0,150,670.0,19000,3971499,41.8,Normal
BOG-AME,Bogotá · Américas,Bogotá,PAN-003,Propionato de calcio,Panadería,kg,Univar,675.7,200,1689.8,16500,11148600,101.4,Alto
BOG-AME,Bogotá · Américas,Bogotá,PAN-004,Ácido ascórbico E300,Panadería,kg,Brenntag,228.5,150,1300.8,24000,5482897,45.7,Normal
BOG-AME,Bogotá · Américas,Bogotá,PAN-005,DATEM emulsificante pan,Panadería,kg,BASF,174.2,100,743.1,18000,3135228,52.3,Normal
BOG-AME,Bogotá · Américas,Bogotá,PAN-006,Enzima amilasa fungal,Panadería,kg,DSM,223.0,40,390.5,58000,12936429,167.3,Alto
BOG-AME,Bogotá · Américas,Bogotá,PAN-007,Enzima xilanasa panadera,Panadería,kg,DSM,31.7,25,148.9,72000,2281799,31.7,Normal
BOG-AME,Bogotá · Américas,Bogotá,PAN-008,Monoglicérido destilado,Panadería,kg,BASF,138.8,100,488.5,21000,2914239,41.6,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-001,Sabor artificial vainilla,Sabores & Colorantes,kg,Vasanico,112.3,80,623.1,48000,5390809,42.1,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-002,Sabor natural fresa premium,Sabores & Colorantes,kg,Vasanico,159.3,60,306.2,62000,9877370,79.7,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-003,Sabor natural durazno,Sabores & Colorantes,kg,Vasanico,68.9,60,525.8,58000,3994672,34.4,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-004,Colorante caramelo IV,Sabores & Colorantes,kg,Brenntag,82.3,100,494.1,18500,1521766,24.7,Bajo
BOG-AME,Bogotá · Américas,Bogotá,SAB-005,Colorante curcumina natural,Sabores & Colorantes,kg,Chr. Hansen,26.4,20,87.6,95000,2506822,26.4,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-006,Sucralosa,Sabores & Colorantes,kg,Univar,118.3,20,175.5,125000,14793176,118.3,Alto
BOG-AME,Bogotá · Américas,Bogotá,SAB-007,Stevia RA97,Sabores & Colorantes,kg,Ingredion,21.3,15,78.4,145000,3087298,21.3,Normal
BOG-AME,Bogotá · Américas,Bogotá,SAB-008,Ácido cítrico anhidro,Sabores & Colorantes,kg,Brenntag,322.6,500,2496.1,7800,2516454,19.4,Bajo
BOG-AME,Bogotá · Américas,Bogotá,SAB-009,Goma xantana,Sabores & Colorantes,kg,CP Kelco,260.5,80,723.6,42000,10941551,97.7,Alto
BOG-AME,Bogotá · Américas,Bogotá,SAB-010,Pectina HM cítrica,Sabores & Colorantes,kg,CP Kelco,78.6,50,299.1,55000,4324430,47.2,Normal
BOG-AME,Bogotá · Américas,Bogotá,ASE-001,Hipoclorito de sodio 15%,Aseo & Desinfección,litro,Coyabra,1016.2,1000,5047.6,2800,2845478,30.5,Normal
BOG-AME,Bogotá · Américas,Bogotá,ASE-002,Alcohol etílico 96°,Aseo & Desinfección,litro,Coyabra,2046.7,500,3998.6,6500,13303264,122.8,Alto
BOG-AME,Bogotá · Américas,Bogotá,ASE-003,Detergente alcalino CIP-100,Aseo & Desinfección,kg,Ecolab,316.8,200,953.0,18000,5701999,47.5,Normal
BOG-AME,Bogotá · Américas,Bogotá,ASE-004,Ácido peracético 15%,Aseo & Desinfección,litro,PeroxyChem,271.5,80,712.8,28000,7601028,101.8,Alto
BOG-AME,Bogotá · Américas,Bogotá,ASE-005,Amonio cuaternario QAT-50,Aseo & Desinfección,litro,Univar,404.9,100,506.7,22000,8908367,121.5,Alto
BOG-AME,Bogotá · Américas,Bogotá,ASE-006,Cepillo VIKAN higiene azul,Aseo & Desinfección,unidad,Vikan,67.2,30,271.6,38000,2554518,67.2,Normal
BOG-AME,Bogotá · Américas,Bogotá,LAB-001,Agar PCA recuento total,Laboratorio,500g,Merck,51.1,10,85.7,185000,9448840,51.1,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAB-002,Agar VRBD coliformes,Laboratorio,500g,Merck,44.6,8,48.7,195000,8697927,44.6,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAB-003,Agar Baird-Parker S. aureus,Laboratorio,500g,Merck,8.0,8,51.3,220000,1756069,8.0,Bajo
BOG-AME,Bogotá · Américas,Bogotá,LAB-004,Agar Salmonella-Shigella,Laboratorio,500g,Merck,11.0,8,68.3,205000,2252773,11.0,Normal
BOG-AME,Bogotá · Américas,Bogotá,LAB-005,Kit coloración Gram,Laboratorio,kit,Merck,81.4,20,104.7,85000,6920681,81.4,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAB-006,Prueba rápida coliformes,Laboratorio,caja,Confía Control,12.7,15,105.6,75000,950340,12.7,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-001,Cuajo Chymostar® líquido,Lácteos,litro,Chr. Hansen,20.6,40,352.1,95000,1952477,15.4,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-002,Cuajo Marschall® pastilla,Lácteos,sobre,Chr. Hansen,781.0,200,1029.2,12000,9372464,117.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-003,Choozit® MA 4001,Lácteos,dosis,Danisco,59.0,20,172.3,185000,10920730,59.0,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-004,Choozit® MM 100,Lácteos,dosis,Danisco,113.3,20,134.3,175000,19821224,113.3,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-005,Yomix® 883 (yogurt),Lácteos,dosis,Danisco,86.8,25,145.4,165000,14315714,86.8,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-006,Yomix® Prime 800,Lácteos,dosis,Danisco,139.9,25,196.7,172000,24056422,139.9,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-007,Lactogel® FX 7720,Lácteos,kg,Danisco,63.8,60,515.2,88000,5612439,31.9,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-008,Cremodan® SE 709-2,Lácteos,kg,Danisco,194.1,50,429.6,92000,17856427,116.5,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-009,Nisaplin® (Nisin A),Lácteos,kg,Danisco,7.6,8,69.2,380000,2883518,7.6,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,LAC-010,Cloruro de calcio alimentario,Lácteos,kg,Brenntag,968.8,200,1904.8,8500,8235107,145.3,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-001,Tripolifosfato sódico STPP,Cárnicos,kg,BASF,1599.9,300,2725.8,12000,19199114,160.0,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-002,Eritorbato de sodio,Cárnicos,kg,Brenntag,973.9,200,915.1,14500,14121147,146.1,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-003,Carragenina Iota cárnicos,Cárnicos,kg,Kerry Group,336.9,80,656.1,41000,13811691,126.3,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-004,Condimento chorizo especial,Cárnicos,kg,Givaudan,93.9,50,314.7,68000,6381956,56.3,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-005,Condimento mortadela premium,Cárnicos,kg,IFF,100.0,50,382.7,72000,7201744,60.0,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-006,Proteína de soya texturizada,Cárnicos,kg,Brenntag,1522.7,400,3801.2,9500,14465378,114.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-007,Proteína aislada de soya 90%,Cárnicos,kg,Brenntag,77.8,150,923.0,22000,1712545,15.6,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-008,Almidón de papa para cárnicos,Cárnicos,kg,Ingredion,1014.3,500,2480.7,6500,6593034,60.9,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-009,Sal Refisal® curación,Cárnicos,kg,Refisal,1727.1,500,2486.2,3200,5526792,103.6,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,CAR-010,Nitrito de sodio 99%,Cárnicos,kg,Univar,802.6,150,1249.1,18000,14446192,160.5,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-001,Levadura seca instantánea,Panadería,kg,Lesaffre,1091.5,300,2360.7,12500,13644209,109.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-002,Mejorizador panadera CM-5,Panadería,kg,Kerry Group,794.0,150,815.7,19000,15085166,158.8,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-003,Propionato de calcio,Panadería,kg,Univar,867.5,200,1179.1,16500,14313060,130.1,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-004,Ácido ascórbico E300,Panadería,kg,Brenntag,97.6,150,1272.8,24000,2342310,19.5,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-005,DATEM emulsificante pan,Panadería,kg,BASF,561.5,100,790.5,18000,10106433,168.4,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-006,Enzima amilasa fungal,Panadería,kg,DSM,122.8,40,326.5,58000,7121606,92.1,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-007,Enzima xilanasa panadera,Panadería,kg,DSM,31.0,25,160.4,72000,2230894,31.0,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,PAN-008,Monoglicérido destilado,Panadería,kg,BASF,537.9,100,534.9,21000,11294989,161.4,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-001,Sabor artificial vainilla,Sabores & Colorantes,kg,Vasanico,104.7,80,507.3,48000,5027653,39.3,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-002,Sabor natural fresa premium,Sabores & Colorantes,kg,Vasanico,171.2,60,383.4,62000,10614308,85.6,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-003,Sabor natural durazno,Sabores & Colorantes,kg,Vasanico,29.7,60,362.2,58000,1721834,14.8,Crítico
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-004,Colorante caramelo IV,Sabores & Colorantes,kg,Brenntag,542.2,100,620.4,18500,10030765,162.7,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-005,Colorante curcumina natural,Sabores & Colorantes,kg,Chr. Hansen,48.6,20,113.0,95000,4615213,48.6,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-006,Sucralosa,Sabores & Colorantes,kg,Univar,25.5,20,165.9,125000,3181347,25.5,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-007,Stevia RA97,Sabores & Colorantes,kg,Ingredion,51.8,15,135.7,145000,7512070,51.8,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-008,Ácido cítrico anhidro,Sabores & Colorantes,kg,Brenntag,557.5,500,3600.6,7800,4348766,33.5,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-009,Goma xantana,Sabores & Colorantes,kg,CP Kelco,412.0,80,352.4,42000,17302641,154.5,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,SAB-010,Pectina HM cítrica,Sabores & Colorantes,kg,CP Kelco,142.0,50,266.4,55000,7812163,85.2,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-001,Hipoclorito de sodio 15%,Aseo & Desinfección,litro,Coyabra,533.4,1000,7045.5,2800,1493586,16.0,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-002,Alcohol etílico 96°,Aseo & Desinfección,litro,Coyabra,1719.4,500,4111.3,6500,11175944,103.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-003,Detergente alcalino CIP-100,Aseo & Desinfección,kg,Ecolab,226.6,200,1890.8,18000,4078488,34.0,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-004,Ácido peracético 15%,Aseo & Desinfección,litro,PeroxyChem,147.8,80,400.8,28000,4139046,55.4,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-005,Amonio cuaternario QAT-50,Aseo & Desinfección,litro,Univar,567.9,100,583.0,22000,12494270,170.4,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,ASE-006,Cepillo VIKAN higiene azul,Aseo & Desinfección,unidad,Vikan,57.4,30,222.2,38000,2182249,57.4,Normal
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-001,Agar PCA recuento total,Laboratorio,500g,Merck,33.2,10,52.9,185000,6148882,33.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-002,Agar VRBD coliformes,Laboratorio,500g,Merck,6.8,8,41.7,195000,1325938,6.8,Bajo
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-003,Agar Baird-Parker S. aureus,Laboratorio,500g,Merck,33.1,8,61.9,220000,7291126,33.1,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-004,Agar Salmonella-Shigella,Laboratorio,500g,Merck,25.8,8,35.6,205000,5298583,25.8,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-005,Kit coloración Gram,Laboratorio,kit,Merck,79.2,20,148.6,85000,6728013,79.2,Alto
BOG-QUI,Bogotá · Químicos,Bogotá,LAB-006,Prueba rápida coliformes,Laboratorio,caja,Confía Control,72.7,15,60.7,75000,5452368,72.7,Alto
ITA,Itagüí,Itagüí,LAC-001,Cuajo Chymostar® líquido,Lácteos,litro,Chr. Hansen,108.4,40,286.8,95000,10298881,81.3,Normal
ITA,Itagüí,Itagüí,LAC-002,Cuajo Marschall® pastilla,Lácteos,sobre,Chr. Hansen,587.4,200,1327.3,12000,7048918,88.1,Normal
ITA,Itagüí,Itagüí,LAC-003,Choozit® MA 4001,Lácteos,dosis,Danisco,85.0,20,182.1,185000,15729932,85.0,Alto
ITA,Itagüí,Itagüí,LAC-004,Choozit® MM 100,Lácteos,dosis,Danisco,9.4,20,114.3,175000,1645720,9.4,Crítico
ITA,Itagüí,Itagüí,LAC-005,Yomix® 883 (yogurt),Lácteos,dosis,Danisco,36.5,25,156.5,165000,6030649,36.5,Normal
ITA,Itagüí,Itagüí,LAC-006,Yomix® Prime 800,Lácteos,dosis,Danisco,99.7,25,191.0,172000,17151216,99.7,Alto
ITA,Itagüí,Itagüí,LAC-007,Lactogel® FX 7720,Lácteos,kg,Danisco,314.0,60,356.1,88000,27629745,157.0,Alto
ITA,Itagüí,Itagüí,LAC-008,Cremodan® SE 709-2,Lácteos,kg,Danisco,151.6,50,494.7,92000,13945279,90.9,Alto
ITA,Itagüí,Itagüí,LAC-009,Nisaplin® (Nisin A),Lácteos,kg,Danisco,6.7,8,54.7,380000,2550527,6.7,Bajo
ITA,Itagüí,Itagüí,LAC-010,Cloruro de calcio alimentario,Lácteos,kg,Brenntag,240.5,200,1854.1,8500,2044112,36.1,Normal
ITA,Itagüí,Itagüí,CAR-001,Tripolifosfato sódico STPP,Cárnicos,kg,BASF,1204.1,300,2331.3,12000,14448882,120.4,Alto
ITA,Itagüí,Itagüí,CAR-002,Eritorbato de sodio,Cárnicos,kg,Brenntag,191.2,200,1214.5,14500,2772040,28.7,Bajo
ITA,Itagüí,Itagüí,CAR-003,Carragenina Iota cárnicos,Cárnicos,kg,Kerry Group,185.2,80,634.1,41000,7592887,69.4,Normal
ITA,Itagüí,Itagüí,CAR-004,Condimento chorizo especial,Cárnicos,kg,Givaudan,275.9,50,245.9,68000,18761514,165.5,Alto
ITA,Itagüí,Itagüí,CAR-005,Condimento mortadela premium,Cárnicos,kg,IFF,216.1,50,346.0,72000,15560766,129.7,Alto
ITA,Itagüí,Itagüí,CAR-006,Proteína de soya texturizada,Cárnicos,kg,Brenntag,491.8,400,2321.4,9500,4672524,36.9,Normal
ITA,Itagüí,Itagüí,CAR-007,Proteína aislada de soya 90%,Cárnicos,kg,Brenntag,349.5,150,631.0,22000,7687952,69.9,Normal
ITA,Itagüí,Itagüí,CAR-008,Almidón de papa para cárnicos,Cárnicos,kg,Ingredion,2972.3,500,2150.6,6500,19319856,178.3,Alto
ITA,Itagüí,Itagüí,CAR-009,Sal Refisal® curación,Cárnicos,kg,Refisal,552.5,500,2699.9,3200,1768009,33.2,Normal
ITA,Itagüí,Itagüí,CAR-010,Nitrito de sodio 99%,Cárnicos,kg,Univar,731.3,150,1339.1,18000,13163311,146.3,Alto
ITA,Itagüí,Itagüí,PAN-001,Levadura seca instantánea,Panadería,kg,Lesaffre,529.8,300,2994.1,12500,6623068,53.0,Normal
ITA,Itagüí,Itagüí,PAN-002,Mejorizador panadera CM-5,Panadería,kg,Kerry Group,667.5,150,643.3,19000,12682887,133.5,Alto
ITA,Itagüí,Itagüí,PAN-003,Propionato de calcio,Panadería,kg,Univar,472.0,200,1769.6,16500,7788040,70.8,Normal
ITA,Itagüí,Itagüí,PAN-004,Ácido ascórbico E300,Panadería,kg,Brenntag,708.3,150,1442.3,24000,16999588,141.7,Alto
ITA,Itagüí,Itagüí,PAN-005,DATEM emulsificante pan,Panadería,kg,BASF,443.1,100,645.9,18000,7975370,132.9,Alto
ITA,Itagüí,Itagüí,PAN-006,Enzima amilasa fungal,Panadería,kg,DSM,92.1,40,160.2,58000,5339264,69.0,Normal
ITA,Itagüí,Itagüí,PAN-007,Enzima xilanasa panadera,Panadería,kg,DSM,52.7,25,125.5,72000,3797123,52.7,Normal
ITA,Itagüí,Itagüí,PAN-008,Monoglicérido destilado,Panadería,kg,BASF,440.4,100,525.4,21000,9248694,132.1,Alto
ITA,Itagüí,Itagüí,SAB-001,Sabor artificial vainilla,Sabores & Colorantes,kg,Vasanico,112.7,80,717.9,48000,5411739,42.3,Normal
ITA,Itagüí,Itagüí,SAB-002,Sabor natural fresa premium,Sabores & Colorantes,kg,Vasanico,225.1,60,390.2,62000,13958859,112.6,Alto
ITA,Itagüí,Itagüí,SAB-003,Sabor natural durazno,Sabores & Colorantes,kg,Vasanico,145.2,60,292.0,58000,8422328,72.6,Normal
ITA,Itagüí,Itagüí,SAB-004,Colorante caramelo IV,Sabores & Colorantes,kg,Brenntag,354.8,100,517.3,18500,6563249,106.4,Alto
ITA,Itagüí,Itagüí,SAB-005,Colorante curcumina natural,Sabores & Colorantes,kg,Chr. Hansen,59.8,20,188.2,95000,5684664,59.8,Normal
ITA,Itagüí,Itagüí,SAB-006,Sucralosa,Sabores & Colorantes,kg,Univar,88.7,20,160.5,125000,11084547,88.7,Alto
ITA,Itagüí,Itagüí,SAB-007,Stevia RA97,Sabores & Colorantes,kg,Ingredion,58.7,15,149.2,145000,8517892,58.7,Alto
ITA,Itagüí,Itagüí,SAB-008,Ácido cítrico anhidro,Sabores & Colorantes,kg,Brenntag,229.1,500,2555.1,7800,1787149,13.7,Crítico
ITA,Itagüí,Itagüí,SAB-009,Goma xantana,Sabores & Colorantes,kg,CP Kelco,87.9,80,386.7,42000,3689893,32.9,Normal
ITA,Itagüí,Itagüí,SAB-010,Pectina HM cítrica,Sabores & Colorantes,kg,CP Kelco,143.0,50,356.9,55000,7864632,85.8,Normal
ITA,Itagüí,Itagüí,ASE-001,Hipoclorito de sodio 15%,Aseo & Desinfección,litro,Coyabra,835.2,1000,7687.6,2800,2338433,25.1,Bajo
ITA,Itagüí,Itagüí,ASE-002,Alcohol etílico 96°,Aseo & Desinfección,litro,Coyabra,505.0,500,4461.0,6500,3282485,30.3,Normal
ITA,Itagüí,Itagüí,ASE-003,Detergente alcalino CIP-100,Aseo & Desinfección,kg,Ecolab,856.0,200,1620.2,18000,15408678,128.4,Alto
ITA,Itagüí,Itagüí,ASE-004,Ácido peracético 15%,Aseo & Desinfección,litro,PeroxyChem,110.3,80,592.6,28000,3089287,41.4,Normal
ITA,Itagüí,Itagüí,ASE-005,Amonio cuaternario QAT-50,Aseo & Desinfección,litro,Univar,557.9,100,767.8,22000,12273764,167.4,Alto
ITA,Itagüí,Itagüí,ASE-006,Cepillo VIKAN higiene azul,Aseo & Desinfección,unidad,Vikan,33.8,30,264.9,38000,1285484,33.8,Normal
ITA,Itagüí,Itagüí,LAB-001,Agar PCA recuento total,Laboratorio,500g,Merck,48.2,10,59.9,185000,8922971,48.2,Alto
ITA,Itagüí,Itagüí,LAB-002,Agar VRBD coliformes,Laboratorio,500g,Merck,35.2,8,41.4,195000,6869488,35.2,Alto
ITA,Itagüí,Itagüí,LAB-003,Agar Baird-Parker S. aureus,Laboratorio,500g,Merck,15.9,8,76.1,220000,3506177,15.9,Normal
ITA,Itagüí,Itagüí,LAB-004,Agar Salmonella-Shigella,Laboratorio,500g,Merck,23.8,8,36.5,205000,4882599,23.8,Normal
ITA,Itagüí,Itagüí,LAB-005,Kit coloración Gram,Laboratorio,kit,Merck,65.0,20,117.6,85000,5525579,65.0,Alto
ITA,Itagüí,Itagüí,LAB-006,Prueba rápida coliformes,Laboratorio,caja,Confía Control,48.3,15,87.2,75000,3624053,48.3,Alto
VIL,Villavicencio,Villavicencio,LAC-001,Cuajo Chymostar® líquido,Lácteos,litro,Chr. Hansen,54.7,40,197.9,95000,5195730,41.0,Normal
VIL,Villavicencio,Villavicencio,LAC-002,Cuajo Marschall® pastilla,Lácteos,sobre,Chr. Hansen,180.4,200,1261.7,12000,2165242,27.1,Bajo
VIL,Villavicencio,Villavicencio,LAC-003,Choozit® MA 4001,Lácteos,dosis,Danisco,44.1,20,198.1,185000,8164811,44.1,Normal
VIL,Villavicencio,Villavicencio,LAC-004,Choozit® MM 100,Lácteos,dosis,Danisco,86.8,20,104.0,175000,15184447,86.8,Alto
VIL,Villavicencio,Villavicencio,LAC-005,Yomix® 883 (yogurt),Lácteos,dosis,Danisco,144.1,25,163.2,165000,23777343,144.1,Alto
VIL,Villavicencio,Villavicencio,LAC-006,Yomix® Prime 800,Lácteos,dosis,Danisco,77.1,25,107.9,172000,13257086,77.1,Alto
VIL,Villavicencio,Villavicencio,LAC-007,Lactogel® FX 7720,Lácteos,kg,Danisco,260.3,60,324.4,88000,22903435,130.1,Alto
VIL,Villavicencio,Villavicencio,LAC-008,Cremodan® SE 709-2,Lácteos,kg,Danisco,86.7,50,363.7,92000,7973293,52.0,Normal
VIL,Villavicencio,Villavicencio,LAC-009,Nisaplin® (Nisin A),Lácteos,kg,Danisco,38.1,8,57.2,380000,14470744,38.1,Alto
VIL,Villavicencio,Villavicencio,LAC-010,Cloruro de calcio alimentario,Lácteos,kg,Brenntag,334.0,200,1969.7,8500,2838637,50.1,Normal
VIL,Villavicencio,Villavicencio,CAR-001,Tripolifosfato sódico STPP,Cárnicos,kg,BASF,1070.6,300,1297.8,12000,12846625,107.1,Alto
VIL,Villavicencio,Villavicencio,CAR-002,Eritorbato de sodio,Cárnicos,kg,Brenntag,914.3,200,1170.1,14500,13256911,137.1,Alto
VIL,Villavicencio,Villavicencio,CAR-003,Carragenina Iota cárnicos,Cárnicos,kg,Kerry Group,116.8,80,688.7,41000,4787550,43.8,Normal
VIL,Villavicencio,Villavicencio,CAR-004,Condimento chorizo especial,Cárnicos,kg,Givaudan,26.6,50,334.2,68000,1811113,16.0,Bajo
VIL,Villavicencio,Villavicencio,CAR-005,Condimento mortadela premium,Cárnicos,kg,IFF,173.1,50,417.7,72000,12466710,103.9,Alto
VIL,Villavicencio,Villavicencio,CAR-006,Proteína de soya texturizada,Cárnicos,kg,Brenntag,917.4,400,3949.7,9500,8715094,68.8,Normal
VIL,Villavicencio,Villavicencio,CAR-007,Proteína aislada de soya 90%,Cárnicos,kg,Brenntag,541.1,150,1191.2,22000,11904055,108.2,Alto
VIL,Villavicencio,Villavicencio,CAR-008,Almidón de papa para cárnicos,Cárnicos,kg,Ingredion,1388.0,500,3664.6,6500,9021975,83.3,Normal
VIL,Villavicencio,Villavicencio,CAR-009,Sal Refisal® curación,Cárnicos,kg,Refisal,844.1,500,3118.9,3200,2700961,50.6,Normal
VIL,Villavicencio,Villavicencio,CAR-010,Nitrito de sodio 99%,Cárnicos,kg,Univar,651.1,150,1222.1,18000,11720137,130.2,Alto
